"year","sst","msy_r","msy_f"
1850,12.9117487466573,34015352.4966987,38509279.7001753
1851,13.1008323447722,33830425.8910607,36330298.6908023
1852,13.0789693169592,34013971.4829645,39318146.1057822
1853,13.0489701769612,33666100.5397534,37373159.1250695
1854,13.0200143637323,33776633.2268434,37620013.0713289
1855,13.0718745084633,34341430.165368,38204436.9893425
1856,12.9435761077556,34196264.2218353,38622411.5206503
1857,12.9257472731801,34157357.471035,40163872.7713163
1858,13.0195178141408,33964548.7982707,38034423.7633136
1859,12.9838943366288,33751596.0388769,37698796.2147496
1860,12.9831858384298,34052020.6477398,38149428.7494921
1861,12.9512062847368,34035182.3928126,37660320.9092684
1862,12.9842504467204,34529221.1408502,39580862.3050792
1863,12.9611428635831,33972215.5799041,38123031.8325047
1864,13.0223358425515,34015175.834122,38025973.0061462
1865,13.1278228942617,33980601.3862678,36645681.2250865
1866,13.1285543894331,33936685.1312826,36728196.6711984
1867,13.0699916509894,34042031.3792003,36878258.187766
1868,13.1009859075451,33841170.899868,37670240.716475
1869,13.0481816697883,33800406.6598562,37689128.762078
1870,13.0252740883954,33652088.5307322,37204519.3804407
1871,12.9524509647127,33928084.3178132,38059522.7287676
1872,12.9560299063217,33725904.5216854,38509064.1621644
1873,12.9033096866424,33976767.8496104,39132031.159812
1874,12.9065430000615,33919430.2501904,38857728.8644502
1875,12.9935701966797,33806000.3461079,37274807.0787566
1876,12.974339773144,34126333.0310371,38323455.2034153
1877,13.2758304428763,34431817.2566805,38320607.0714405
1878,13.3314197224093,33670729.5547437,35400084.7688958
1879,13.0718510614847,34184142.2962279,36985733.4877852
1880,13.0506548191917,33654746.5893427,36946561.4189224
1881,13.0551102295026,34292580.4001746,39203203.7727849
1882,12.9529580558745,33617583.7980181,38317100.0418474
1883,13.023877832183,33922958.9348639,38367797.7026707
1884,13.0417933824451,34267438.4623746,44780781.607468
1885,13.086246204373,35000284.8665344,41340999.005976
1886,13.03740758421,34665908.6633047,40107604.0814552
1887,12.9014818529697,34610872.1459143,39129013.1388004
1888,12.991611840923,35224909.4614329,40700420.0682128
1889,13.0758661704962,34216448.8049287,38936378.1023758
1890,12.8700326690129,33872476.4377872,37827005.342788
1891,12.9555762536393,34874994.6018818,40507905.9961969
1892,12.7694967532807,34696245.6568663,41076159.7085497
1893,12.7821615836177,34766397.3175419,44906629.777734
1894,12.7943946777156,34090761.2522971,39327763.0329856
1895,12.8553912468103,34602077.8356981,41157236.7256051
1896,13.0998262956528,34100699.3043478,36701494.0794996
1897,13.0668419226005,34244444.9554304,37129829.6790165
1898,13.0325682652645,33798069.7255205,37160799.9552415
1899,13.0092646474667,34170170.781651,38079355.1105034
1900,13.1252736838697,34264432.5162695,37677090.6727455
1901,12.8964424339916,34831035.5609233,41421586.225215
1902,12.8088820911517,35720178.6978843,47547816.4796606
1903,12.6741659177461,34837752.5451675,42948257.0291748
1904,12.7449809990433,35285477.9894539,44323815.6304883
1905,12.8313167141724,35271062.6226841,45319700.0867306
1906,12.8865921255812,35068990.370723,43457849.2535936
1907,12.7151408831156,35327376.3367373,45231709.4886056
1908,12.6521876275551,35434852.6353657,49623859.0158108
1909,12.5766703468898,34954503.5184089,43431499.6268974
1910,12.562382120391,35150918.9809258,47929492.1149522
1911,12.6502526562666,34873855.6508352,45019353.5306749
1912,12.7691552244807,35043676.2079735,45389620.6420315
1913,12.7935147245279,35098210.3569173,45884075.9269913
1914,12.9655751645579,33892336.4180967,38939318.3725865
1915,13.0484152133791,34342383.7911348,38868969.8869438
1916,12.7185518508433,33989231.7315073,40053785.5632064
1917,12.7144450619399,35346888.1858207,45912921.7147136
1918,12.8964989589878,35644524.3751254,44254663.1239959
1919,12.8455914197661,35196365.7109354,40911333.0015528
1920,12.8964568345065,34181826.0562162,37757410.8438514
