"assessid","stockid","country","region","area","method","method1","method2","species","comm_name","b0_true","msy_true","type","class","order","family","genus","taxa_level","linf_cm","vonb_k","winf_kg","tmax_yr","tmat_yr","m","lmat_cm","temp_c","habitat","depth_m_mid","migratory","depth_m_min","depth_m_max","comm_depth_m_min","comm_depth_m_max","troph","feeding","repro_mode","spawning","repro_guild1","repro_guild2","spawning_ground","lmax_cm","wmax_kg","lme_name","fao_area","long_dd","lat_dd","lat_dd_abs","area_sqkm","n","yr1","yr2","sst_c_avg","sst_c_median","sst_c_trend","tb_max","tb_avg","tb_trend","tb_sd_trend","catch_avg","bbmsy_n","bbmsy_avg","ffmsy_n","ffmsy_avg","sst_c_avg2","sst_c_trend2","r","r_se","r_lo","r_hi","k","k_se","k_lo","k_hi","betaT","betaT_se","betaT_lo","betaT_hi","betaT_inf","sigmaP","sigmaP_se","sigmaP_lo","sigmaP_hi","rho","rho_se","rho_lo","rho_hi"
"DFO-ACADRED2J3K-1960-2010-WATSON","ACADRED2J3K","Canada","Canada East Coast","NAFO Division 2J3K","Biomass dynamics model","BSPM","Bayesian Surplus Production Model","Sebastes fasciatus","Acadian redfish",NA,3000,"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","species",36.0796589948631,0.151675321662475,0.722588724926144,27.9998562126589,6.12372652901606,0.139530289127198,23.0143726420409,11.7283330914818,"demersal",331,NA,70,592,128,366,NA,"selective plankton feeding","dioecism",NA,"bearers","internal live bearers",NA,NA,NA,"Labrador Sea",21,-49.90343509,52.20195907,52.20195907,605569.0221,31,1978,2008,5.52503056304328,5.42125854681944,0.0406671959450355,1060000,113064.516129032,-15408.2258064516,-0.0145360620815581,2273.16129032258,0,NA,0,NA,5.55857259194314,0.000886414020917138,0.764159867823377,0.274860151386127,0.37758130773711,1.54652863271084,0.522415641836012,0.0698543679091046,0.401972536536218,0.678947137002586,-0.0380038423895868,0.212457098020646,-0.454419754510053,0.37841206973088,"none",0.157184812696806,0.0199859224751044,0.122512104929732,0.201670401114249,-0.569827144511939,0.167721111312587,-0.89856052268461,-0.241093766339268
"DFO-ACADREDUT3-1960-2010-WATSON","ACADREDUT3","Canada","Canada East Coast","Unit 3","Biomass dynamics model","BSPM","Bayesian Surplus Production Model","Sebastes fasciatus","Acadian redfish",NA,131000,"finfish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","species",36.0796589948631,0.151675321662475,0.722588724926144,27.9998562126589,6.12372652901606,0.139530289127198,23.0143726420409,11.7283330914818,"demersal",331,NA,70,592,128,366,NA,"selective plankton feeding","dioecism",NA,"bearers","internal live bearers",NA,NA,NA,"Scotian Shelf",21,-62.87875781,41.95884804,41.95884804,359185.7703,39,1970,2008,13.5003383293405,13.4246727731533,0.0143542810960139,209000,69820.5128205128,-708.502024291532,-0.00338996183871546,6397.4358974359,0,NA,0,NA,13.4111408855779,0.0044576388805529,0.707000154790968,0.235262799266843,0.368270354238081,1.35728877744883,0.504431022201551,0.0607095756603767,0.398433275805206,0.638628025345208,0.0207978276136553,0.207634605458345,-0.386165999084701,0.427761654312011,"none",0.246532403804818,0.027949940614574,0.197410195070323,0.307877848477537,-0.367343893323767,0.194769591669239,-0.749092292995475,0.0144045063479414
"ICCAT-ALBAMED-1956-2011-CHING","ALBAMED","multinational","Mediterranean-Black Sea","Mediterranean Sea","Biomass dynamics model","BSPM","Bayesian Surplus Production Model","Thunnus alalunga","Albacore tuna",NA,28900,"finfish","Actinopterygii","Perciformes","Scombridae","Thunnus","species",141.864513874259,0.180272954729569,37.6774853497062,15.0009396105679,4.74425572570805,0.255720222864568,81.3580941439297,15.824897072437,"pelagic-oceanic",300,"oceanodromous",0,600,NA,NA,4.13,"hunting macrofauna (predator)","dioecism",NA,"nonguarders","open water/substratum egg scatterers","oceanic",NA,NA,"Mediterranean Sea",37,19.62365234,38.15246801,38.15246801,2996793.212,46,1965,2010,18.9035478183777,18.8469205232251,0.0161270953254856,331000,320913.043478261,-417.39130434782,-0.00126100091947983,2504.30434782609,46,1.91978260869565,46,0.0797826086956522,18.9147045593248,0.00244827121261748,0.290786876080468,0.0434017115429624,0.217032840742223,0.389604665411299,0.997754491194879,0.00481744180266917,0.988356842421307,1.00724149615913,0.00321835667575414,0.177982460089698,-0.345627265100054,0.352063978451563,"none",0.0064357901080086,0.000672926549834218,0.00524322577083773,0.00789960152864515,-0.127210933185648,0.151520799758824,-0.424191700712943,0.169769834341647
"ICCAT-ALBANATL-1930-2015-PONS","ALBANATL","multinational","Atlantic Ocean","Northern Atlantic","Biomass dynamics model","ASPIC","Surplus production model","Thunnus alalunga","Albacore tuna",NA,36650,"finfish","Actinopterygii","Perciformes","Scombridae","Thunnus","species",141.864513874259,0.180272954729569,37.6774853497062,15.0009396105679,4.74425572570805,0.255720222864568,81.3580941439297,15.824897072437,"pelagic-oceanic",300,"oceanodromous",0,600,NA,NA,4.13,"hunting macrofauna (predator)","dioecism",NA,"nonguarders","open water/substratum egg scatterers","oceanic",NA,NA,"North Atlantic Ocean",27,-22.60445843,48.72759957,48.72759957,48163510.69,61,1950,2010,12.8344476305797,12.7588223640907,0.00709076299978337,726000,400606.557377049,-7690.48122686412,-0.0105929493482977,40040.9836065574,61,0.920311475409836,61,1.2434262295082,12.8320693722707,0.00314148445704617,0.139464640748195,0.00399539376110457,0.131849466556499,0.147519641353183,1.26033932183301,0.0280960865313293,1.20645671746913,1.31662842367914,-0.201914024759844,0.0748329831639072,-0.348586671761102,-0.0552413777585858,"negative",0.00593492544182552,0.000541287927304222,0.00496341970570984,0.00709658704854386,-0.00583248364768366,0.13062202713775,-0.261851656837673,0.250186689542306
"ISC-ALBANPAC-1950-2012-PONS","ALBANPAC","multinational","US West Coast","North Pacific Ocean","Integrated Analysis","SS3","Stock Synthesis v3.0 model","Thunnus alalunga","Albacore tuna",NA,105571,"finfish","Actinopterygii","Perciformes","Scombridae","Thunnus","species",141.864513874259,0.180272954729569,37.6774853497062,15.0009396105679,4.74425572570805,0.255720222864568,81.3580941439297,15.824897072437,"pelagic-oceanic",300,"oceanodromous",0,600,NA,NA,4.13,"hunting macrofauna (predator)","dioecism",NA,"nonguarders","open water/substratum egg scatterers","oceanic",NA,NA,"North Pacific Ocean",77,-145.2833584,24.74631391,24.74631391,59775902.61,46,1966,2011,21.3497012794813,21.3634965122478,0.00919617841210045,1040000,736260.869565217,-8042.79987665738,-0.00773346141986287,77576.0869565217,46,2.41978260869565,46,0.726891304347826,21.2934902446667,0.00434215507957258,0.280601319341491,0.0886340082463089,0.151082552091067,0.521152835495693,1.45894399320372,0.259100958392811,1.0300701950848,2.06638109272735,0.057362608278734,0.104262942314848,-0.146992758658368,0.261717975215836,"none",0.011712496548511,0.00123115113488013,0.00953178765145841,0.0143921140939279,0.978377228347163,0.0390969629110941,0.901747181041418,1.05500727565291
"ICCAT-ALBASATL-1950-2015-PONS","ALBASATL","multinational","Atlantic Ocean","South Atlantic","Biomass dynamics model","ASPIC","Surplus production model","Thunnus alalunga","Albacore tuna",NA,25147.5,"finfish","Actinopterygii","Perciformes","Scombridae","Thunnus","species",141.864513874259,0.180272954729569,37.6774853497062,15.0009396105679,4.74425572570805,0.255720222864568,81.3580941439297,15.824897072437,"pelagic-oceanic",300,"oceanodromous",0,600,NA,NA,4.13,"hunting macrofauna (predator)","dioecism",NA,"nonguarders","open water/substratum egg scatterers","oceanic",NA,NA,"South Atlantic Ocean",41,-22.26538976,-42.90916794,42.90916794,46463577.26,56,1956,2011,10.812068588408,10.8387642231183,0.00765882068144188,398000,255946.428571429,-4949.52153110051,-0.0124359837464837,23680.6428571429,56,1.40591071428571,56,0.811703571428571,10.747078541447,0.0055812050658528,0.207555070847837,0.00725108420105046,0.193818607815766,0.222265075165536,1.04693113876159,0.0148324599014106,1.01825944349917,1.07641015883153,-0.121728545530643,0.151884823249819,-0.419422799100289,0.175965708039003,"none",0.00803445452121214,0.000764381685220284,0.00666765810643349,0.00968142913493733,-0.0405327070398448,0.146519244766218,-0.327710426781632,0.246645012701942
"AFSC-ALPLAICBSAI-1972-2010-STACHURA","ALPLAICBSAI","USA","US Alaska","Bering Sea and Aleutian Islands","Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","Pleuronectes quadrituberculatus","Alaska plaice",NA,NA,"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","species",49.156977684204,0.122501247156982,1.40455979374377,36.1242037762265,7.35238763079994,0.128915032457181,28.1003651952934,5.65492455346262,"bathydemersal",300,NA,0,600,NA,NA,3.18,"hunting macrofauna (predator)","dioecism",NA,"nonguarders",NA,"shelf",NA,NA,"East Bering Sea",67,-167.8233611,58.73260212,58.73260212,424076.2291,35,1975,2009,3.99084778591,3.98226665551885,0.00840378677121434,831000,686457.142857143,608.123249299714,0.000731796930565236,15334.8571428571,35,1.604,35,0.189105714285714,3.86106293056631,0.00309291949657531,0.200659883097555,0.0219021714512347,0.162012895273532,0.248525826396379,1.28316152826953,0.136537045570969,1.04161224694746,1.58072594908154,0.0140322843474706,0.0309499793900985,-0.0466296752571226,0.0746942439520637,"none",0.0059743421054007,0.000724276547981542,0.00471081471894554,0.00757677083940865,0.992059833065882,0.0261413638282113,0.940822759962588,1.04329690616918
"DFO-AMPL23K-1960-2012-WATSON","AMPL23K","Canada","Canada East Coast","Labrador - NE Newfoundland","Unknown","unknown","Unknown","Hippoglossoides platessoides","American plaice",NA,NA,"finfish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","species",62.5789650345892,0.107111675628409,2.55834895069748,26.9517303990365,7.47805125626533,0.210817512287924,31.9300381515836,3.09604437483178,"demersal",1505,"oceanodromous",10,3000,90,250,3.61,"hunting macrofauna (predator)","dioecism",NA,"nonguarders",NA,NA,NA,NA,"Labrador Sea",21,-52.93915522,54.47519629,54.47519629,964040.9848,33,1978,2010,4.37633716364557,4.45588579945594,0.0401338074605563,332000,91927.2727272727,-9093.38235294123,-0.0273897058823531,1119.24242424242,0,NA,0,NA,4.38286910997402,0.00115277589038278,0.378645539094813,0.250775007745796,0.103389407952988,1.38672275153751,0.423152524563875,0.214559236134465,0.15663462391103,1.14315758913232,-0.110120084758607,0.213632501426905,-0.528839787555341,0.308599618038126,"none",0.0737482920217315,0.00918684720499151,0.0577717579104139,0.0941430687388204,0.79710654455837,0.129295659564777,0.543687051811408,1.05052603730533
"MARAM-ANCHOSA-1984-2011-deMoor","ANCHOSA","South Africa","South Africa","South Africa","Biomass dynamics model","ASPM","Age-structured surplus production model","Engraulis encrasicolus","Anchovy",NA,NA,"finfish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","species",18.2078408527517,0.48448519812328,0.0365596468918355,4.7532367952289,1.16282032017003,0.858747908570136,10.2242200340028,14.1698052263871,"pelagic-neritic",200,"oceanodromous",0,400,NA,NA,3.12,"selective plankton feeding","dioecism","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers","coastal",NA,NA,"Agulhas Current",47,24.44333249,-33.50783277,33.50783277,1075429.326,27,1984,2010,20.2381131657876,20.2718762124626,0.0172719653100397,4970000,1882037.03703704,74808.3028083035,0.0150519723960369,239588.888888889,0,NA,0,NA,20.0122487368979,0.00687624296672302,0.458822909366994,0.203816847016269,0.192096793685285,1.09589784462977,0.577013687774711,0.144645598872122,0.353023222897234,0.943124345041439,-0.0448463488462545,0.173532416216781,-0.384969884631146,0.295277186938637,"none",0.135347077497702,0.0184188945306875,0.103659667852334,0.176720915344476,0.429075636498439,0.228739923361147,-0.0192546132894094,0.877405886286287
"FAJ-APOLLPJPN-1975-2014-KUROTA","APOLLPJPN","Japan","Russia Japan","Pacific Coast of Japan","VPA","VPA","Virtual Population Analysis","Theragra chalcogramma","Walleye pollock",NA,NA,"finfish","Actinopterygii","Gadiformes","Gadidae","Theragra","species",64.1972130532834,0.256760882756684,1.58398853511185,11.359642388051,2.68566106435254,0.406954615049328,35.5722567835548,4.28400042434099,"benthopelagic",NA,"non-migratory",NA,1280,30,400,3.6800000667572,"hunting macrofauna (predator)","dioecism","one clear seasonal peak per year","nonguarders","open water/substratum egg scatterers",NA,NA,NA,"Kuroshio Current",61,143.4974189,41.2496328,41.2496328,106686.868,33,1981,2013,10.0557977380154,10.0872120748867,0.0297201323933268,1370000,1124393.93939394,-650.401069518687,-0.000474745306218029,185666.666666667,0,NA,0,NA,9.92786511923495,0.00723984950523905,0.440696104271036,0.215349605212357,0.169116219998033,1.14839993657573,1.22000403892208,0.249937659743033,0.816536477273426,1.822833267604,-0.0725473777098294,0.166374672847441,-0.398641736490813,0.253546981071154,"none",0.0777126266243697,0.00969127566384793,0.0608610171861834,0.0992302234841668,0.230237642636477,0.229230717608553,-0.219054563876286,0.679529849149241
